ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
159,TestTotalAgent_Origin(Clone),0,0,8,4,1
160,TestControllerAgent_MissReward(Clone),1,4,19,0,0
160,TestTotalAgent_Origin(Clone),0,0,23,4,1
161,TestControllerAgent_MissReward(Clone),1,4,7,1,0
161,TestTotalAgent_Origin(Clone),0,1,10,4,1
162,TestControllerAgent_MissReward(Clone),1,4,6,2,0
162,TestTotalAgent_Origin(Clone),0,2,8,4,1
163,TestControllerAgent_MissReward(Clone),1,4,6,0,0
163,TestTotalAgent_Origin(Clone),0,0,9,4,1
164,TestControllerAgent_MissReward(Clone),1,4,10,1,0
164,TestTotalAgent_Origin(Clone),0,1,13,4,1
165,TestControllerAgent_MissReward(Clone),1,4,17,0,0
165,TestTotalAgent_Origin(Clone),0,0,20,4,1
166,TestControllerAgent_MissReward(Clone),1,4,7,0,0
166,TestTotalAgent_Origin(Clone),0,0,11,4,1
167,TestControllerAgent_MissReward(Clone),1,4,4,1,0
167,TestTotalAgent_Origin(Clone),0,1,7,4,1
168,TestControllerAgent_MissReward(Clone),1,4,7,0,0
168,TestTotalAgent_Origin(Clone),0,0,11,4,1
169,TestControllerAgent_MissReward(Clone),1,4,7,0,0
169,TestTotalAgent_Origin(Clone),0,0,10,4,1
170,TestControllerAgent_MissReward(Clone),1,4,17,0,0
170,TestTotalAgent_Origin(Clone),0,0,23,4,1
171,TestControllerAgent_MissReward(Clone),1,4,10,1,0
171,TestTotalAgent_Origin(Clone),0,1,13,4,1
172,TestControllerAgent_MissReward(Clone),1,4,22,3,0
172,TestTotalAgent_Origin(Clone),0,3,22,4,1
173,TestControllerAgent_MissReward(Clone),0,2,23,4,1
173,TestTotalAgent_Origin(Clone),1,4,22,2,0
174,TestControllerAgent_MissReward(Clone),1,4,15,0,0
174,TestTotalAgent_Origin(Clone),0,0,22,4,1
175,TestControllerAgent_MissReward(Clone),1,4,9,1,0
175,TestTotalAgent_Origin(Clone),0,1,12,4,1
176,TestControllerAgent_MissReward(Clone),1,4,5,0,0
176,TestTotalAgent_Origin(Clone),0,0,8,4,1
177,TestControllerAgent_MissReward(Clone),1,4,4,0,0
177,TestTotalAgent_Origin(Clone),0,0,8,4,1
178,TestControllerAgent_MissReward(Clone),1,4,13,0,0
178,TestTotalAgent_Origin(Clone),0,0,17,4,1
179,TestControllerAgent_MissReward(Clone),1,4,8,0,0
179,TestTotalAgent_Origin(Clone),0,0,11,4,1
180,TestControllerAgent_MissReward(Clone),1,4,26,3,0
180,TestTotalAgent_Origin(Clone),0,3,27,4,1
181,TestControllerAgent_MissReward(Clone),1,4,8,0,0
181,TestTotalAgent_Origin(Clone),0,0,11,4,1
182,TestControllerAgent_MissReward(Clone),1,4,14,2,0
182,TestTotalAgent_Origin(Clone),0,2,16,4,1
183,TestControllerAgent_MissReward(Clone),1,4,6,0,0
183,TestTotalAgent_Origin(Clone),0,0,9,4,1
184,TestControllerAgent_MissReward(Clone),1,4,16,1,0
184,TestTotalAgent_Origin(Clone),0,1,19,4,1
185,TestControllerAgent_MissReward(Clone),1,4,10,0,0
185,TestTotalAgent_Origin(Clone),0,0,13,4,1
186,TestControllerAgent_MissReward(Clone),1,4,7,1,0
186,TestTotalAgent_Origin(Clone),0,1,10,4,1
187,TestControllerAgent_MissReward(Clone),1,4,25,0,0
187,TestTotalAgent_Origin(Clone),0,0,28,4,1
188,TestControllerAgent_MissReward(Clone),1,4,4,1,0
188,TestTotalAgent_Origin(Clone),0,1,6,4,1
189,TestControllerAgent_MissReward(Clone),0,3,15,4,1
189,TestTotalAgent_Origin(Clone),1,4,16,3,0
190,TestControllerAgent_MissReward(Clone),1,4,17,1,0
190,TestTotalAgent_Origin(Clone),0,1,28,4,1
191,TestControllerAgent_MissReward(Clone),0,0,48,4,1
191,TestTotalAgent_Origin(Clone),1,4,44,0,0
192,TestControllerAgent_MissReward(Clone),1,4,13,0,0
192,TestTotalAgent_Origin(Clone),0,0,15,4,1
193,TestControllerAgent_MissReward(Clone),0,0,41,4,1
193,TestTotalAgent_Origin(Clone),1,4,40,0,0
194,TestControllerAgent_MissReward(Clone),1,4,7,1,0
194,TestTotalAgent_Origin(Clone),0,1,8,4,1
195,TestControllerAgent_MissReward(Clone),1,4,19,3,0
195,TestTotalAgent_Origin(Clone),0,3,20,4,1
196,TestControllerAgent_MissReward(Clone),1,4,23,1,0
196,TestTotalAgent_Origin(Clone),0,1,30,4,1
197,TestControllerAgent_MissReward(Clone),1,4,13,0,0
197,TestTotalAgent_Origin(Clone),0,0,17,4,1
198,TestControllerAgent_MissReward(Clone),1,4,16,1,0
198,TestTotalAgent_Origin(Clone),0,1,28,4,1
199,TestControllerAgent_MissReward(Clone),0,0,18,4,1
199,TestTotalAgent_Origin(Clone),1,4,15,0,0
200,TestControllerAgent_MissReward(Clone),1,4,10,0,0
200,TestTotalAgent_Origin(Clone),0,0,12,4,1
201,TestControllerAgent_MissReward(Clone),1,4,16,3,0
201,TestTotalAgent_Origin(Clone),0,3,17,4,1
202,TestControllerAgent_MissReward(Clone),1,4,10,2,0
202,TestTotalAgent_Origin(Clone),0,2,12,4,1
203,TestControllerAgent_MissReward(Clone),1,4,19,0,0
203,TestTotalAgent_Origin(Clone),0,0,22,4,1
204,TestControllerAgent_MissReward(Clone),1,4,18,0,0
204,TestTotalAgent_Origin(Clone),0,0,21,4,1
205,TestControllerAgent_MissReward(Clone),1,4,27,2,0
205,TestTotalAgent_Origin(Clone),0,2,27,4,1
206,TestControllerAgent_MissReward(Clone),0,0,13,4,1
206,TestTotalAgent_Origin(Clone),1,4,10,0,0
207,TestControllerAgent_MissReward(Clone),1,4,20,2,0
207,TestTotalAgent_Origin(Clone),0,2,22,4,1
208,TestControllerAgent_MissReward(Clone),0,1,4,4,1
208,TestTotalAgent_Origin(Clone),1,4,14,1,0
209,TestControllerAgent_MissReward(Clone),0,1,18,4,1
209,TestTotalAgent_Origin(Clone),1,4,14,1,0
210,TestControllerAgent_MissReward(Clone),1,4,11,3,0
210,TestTotalAgent_Origin(Clone),0,3,11,4,1
211,TestControllerAgent_MissReward(Clone),0,1,18,4,1
211,TestTotalAgent_Origin(Clone),1,4,19,1,0
212,TestControllerAgent_MissReward(Clone),0,0,27,4,1
212,TestTotalAgent_Origin(Clone),1,4,26,0,0
213,TestControllerAgent_MissReward(Clone),1,4,11,1,0
213,TestTotalAgent_Origin(Clone),0,1,12,4,1
214,TestControllerAgent_MissReward(Clone),1,4,10,0,0
214,TestTotalAgent_Origin(Clone),0,0,14,4,1
215,TestControllerAgent_MissReward(Clone),1,4,6,0,0
215,TestTotalAgent_Origin(Clone),0,0,9,4,1
216,TestControllerAgent_MissReward(Clone),1,4,8,0,0
216,TestTotalAgent_Origin(Clone),0,0,11,4,1
217,TestControllerAgent_MissReward(Clone),0,1,12,4,1
217,TestTotalAgent_Origin(Clone),1,4,19,1,0
218,TestControllerAgent_MissReward(Clone),1,4,9,2,0
218,TestTotalAgent_Origin(Clone),0,2,10,4,1
219,TestControllerAgent_MissReward(Clone),1,4,7,1,0
219,TestTotalAgent_Origin(Clone),0,1,9,4,1
220,TestControllerAgent_MissReward(Clone),1,4,9,0,0
220,TestTotalAgent_Origin(Clone),0,0,14,4,1
221,TestControllerAgent_MissReward(Clone),1,4,20,2,0
221,TestTotalAgent_Origin(Clone),0,2,22,4,1
222,TestControllerAgent_MissReward(Clone),1,4,9,0,0
222,TestTotalAgent_Origin(Clone),0,0,13,4,1
223,TestControllerAgent_MissReward(Clone),0,1,14,4,1
223,TestTotalAgent_Origin(Clone),1,4,11,1,0
224,TestControllerAgent_MissReward(Clone),1,4,14,1,0
224,TestTotalAgent_Origin(Clone),0,1,15,4,1
225,TestControllerAgent_MissReward(Clone),1,4,21,2,0
225,TestTotalAgent_Origin(Clone),0,2,23,4,1
226,TestControllerAgent_MissReward(Clone),0,3,25,4,1
226,TestTotalAgent_Origin(Clone),1,4,25,3,0
227,TestControllerAgent_MissReward(Clone),1,4,11,1,0
227,TestTotalAgent_Origin(Clone),0,1,12,4,1
228,TestControllerAgent_MissReward(Clone),1,4,17,0,0
228,TestTotalAgent_Origin(Clone),0,0,23,4,1
229,TestControllerAgent_MissReward(Clone),1,4,5,0,0
229,TestTotalAgent_Origin(Clone),0,0,9,4,1
230,TestControllerAgent_MissReward(Clone),1,4,10,1,0
230,TestTotalAgent_Origin(Clone),0,1,13,4,1
231,TestControllerAgent_MissReward(Clone),1,4,23,2,0
231,TestTotalAgent_Origin(Clone),0,2,25,4,1
232,TestControllerAgent_MissReward(Clone),1,4,10,2,0
